"agentName","patientgetAliveTime"
"78",0
"132",0
"153",0
"143",0
"155",0
"63",0
"136",0
"133",0
"56",0
"30",0
"61",0
"82",0
"57",0
"60",0
"93",0
"96",0
"49",0
"112",0
"127",0
"123",0
"64",0
"32",0
"139",0
"104",0
"100",0
"129",0
"114",0
"31",0
"21",0
"26",0
"149",0
"22",0
"131",0
"79",0
"151",0
"119",0
"36",0
"152",0
"74",0
"66",0
"55",0
"103",0
"91",0
"58",0
"121",0
"118",0
"92",0
"137",0
"54",0
"41",0
"28",0
"110",0
"83",0
"126",0
"27",19080
"38",0
"43",20280
"99",0
"120",0
"138",0
"65",0
"94",0
"147",0
"34",0
"134",0
"81",0
"33",0
"72",0
"122",0
"89",0
"47",20280
"86",0
"130",0
"76",0
"67",0
"115",0
"68",0
"45",0
"148",0
"108",0
"146",0
"84",0
"69",0
"116",0
"46",20220
"141",0
"145",0
"87",0
"37",0
"40",0
"51",0
"144",0
"135",0
"156",0
"75",0
"109",0
"111",0
"90",0
"95",0
"20",0
"97",0
"80",0
"113",0
"125",0
"23",0
"71",0
"105",0
"48",0
"70",0
"77",0
"140",0
"42",0
"35",19260
"59",0
"50",21060
"107",0
"24",0
"25",0
"73",0
"29",0
"62",0
"88",0
"106",0
"117",0
"154",0
"39",0
"98",0
"102",0
"85",0
"101",0
"128",0
"52",0
"150",0
"53",0
"124",0
"142",0
"44",0
