Time point: 366.0 | correctWork: 1.0
Time point: 366.0 | stress: 2.0
Time point: 459.0 | correctWork: 2.0
Time point: 459.0 | stress: 3.0
Time point: 551.0 | correctWork: 3.0
Time point: 551.0 | stress: 4.0
Time point: 643.0 | correctWork: 4.0
Time point: 643.0 | stress: 5.0
Time point: 723.0 | correctWork: 5.0
Time point: 723.0 | stress: 6.0
Time point: 816.0 | correctWork: 6.0
Time point: 816.0 | stress: 7.0
Time point: 990.0 | correctWork: 7.0
Time point: 990.0 | stress: 8.0
Time point: 1083.0 | correctWork: 8.0
Time point: 1083.0 | stress: 9.0
Time point: 1184.0 | correctWork: 9.0
Time point: 1184.0 | stress: 10.0
Time point: 1344.0 | correctWork: 10.0
Time point: 1344.0 | stress: 11.0
Time point: 1477.0 | correctWork: 11.0
Time point: 1477.0 | stress: 12.0
Time point: 1529.0 | correctWork: 12.0
Time point: 1529.0 | stress: 13.0
Time point: 1624.0 | correctWork: 13.0
Time point: 1624.0 | stress: 14.0
Time point: 1743.0 | correctWork: 14.0
Time point: 1743.0 | stress: 15.0
Time point: 1835.0 | correctWork: 15.0
Time point: 1835.0 | stress: 16.0
Time point: 1948.0 | correctWork: 16.0
Time point: 1948.0 | stress: 17.0
Time point: 2053.0 | correctWork: 17.0
Time point: 2053.0 | stress: 18.0
Time point: 2126.0 | correctWork: 18.0
Time point: 2126.0 | stress: 19.0
