"run","patientgetSeverityissevere","patientgetSeverityismoderate","patientgetSeverityislow","patientgetAdmissionRouteisElectiveattendance","patientgetImmunocompromisedisYes","patientgetImmunocompromisedisNo","patientgetRecentCovidContactisYes","patientgetRecentCovidContactisNo","patientgetStrepAInfectionStatusisSusceptible","patientgetStrepAInfectionStatusisAsymptomatic","patientgetStrepAInfectionStatusisSymptomatic","patientgetadmittedToisGreenBay","patientgetadmittedToisGreenBaygetSeverityissevere","patientgetadmittedToisGreenBaygetSeverityismoderate","patientgetadmittedToisGreenBaygetSeverityislow","patientgetadmittedToisGreenBaygetAdmissionRouteisElectiveattendance","patientgetadmittedToisGreenBaygetImmunocompromisedisYes","patientgetadmittedToisGreenBaygetImmunocompromisedisNo","patientgetadmittedToisGreenBaygetRecentCovidContactisYes","patientgetadmittedToisGreenBaygetRecentCovidContactisNo","patientgetadmittedToisGreenBaygetStrepAInfectionStatusisSusceptible","patientgetadmittedToisGreenBaygetStrepAInfectionStatusisAsymptomatic","patientgetadmittedToisGreenBaygetStrepAInfectionStatusisSymptomatic","patientgetAliveTime"
2,30.0,126.0,0.0,115.0,26.0,89.0,67.0,48.0,22.0,16.0,3.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,3558.8461538461534
2,56.0,232.0,0.0,240.0,53.0,187.0,129.0,111.0,25.0,20.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,930.2083333333335
2,83.0,347.0,0.0,352.0,77.0,275.0,184.0,168.0,51.0,19.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,105.0,479.0,0.0,468.0,106.0,362.0,248.0,220.0,76.0,26.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,135.0,613.0,0.0,593.0,134.0,459.0,322.0,271.0,99.0,38.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,164.0,743.0,0.0,713.0,156.0,557.0,377.0,336.0,122.0,48.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,189.0,873.0,0.0,831.0,174.0,657.0,438.0,393.0,141.0,59.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,24.0,137.0,0.0,122.0,26.0,96.0,59.0,63.0,24.0,13.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2863.9751552795037
4,53.0,244.0,0.0,238.0,52.0,186.0,114.0,124.0,38.0,16.0,5.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1206.6666666666665
4,69.0,378.0,0.0,360.0,77.0,283.0,176.0,184.0,53.0,26.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,100.0,494.0,0.0,468.0,94.0,374.0,229.0,239.0,76.0,37.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,119.0,634.0,0.0,586.0,124.0,462.0,283.0,303.0,100.0,47.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,145.0,761.0,0.0,699.0,153.0,546.0,334.0,365.0,121.0,59.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,171.0,892.0,0.0,821.0,172.0,649.0,400.0,421.0,139.0,73.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,25.0,129.0,0.0,119.0,21.0,98.0,59.0,60.0,20.0,13.0,2.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,2587.4025974025967
6,39.0,249.0,0.0,238.0,43.0,195.0,116.0,122.0,24.0,18.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,106.04166666666671
6,66.0,376.0,0.0,357.0,61.0,296.0,173.0,184.0,46.0,28.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,94.0,503.0,0.0,473.0,91.0,382.0,230.0,243.0,69.0,41.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,123.0,623.0,0.0,585.0,114.0,471.0,282.0,303.0,85.0,55.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,147.0,757.0,0.0,704.0,133.0,571.0,332.0,372.0,110.0,63.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,163.0,893.0,0.0,819.0,152.0,667.0,387.0,432.0,128.0,79.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,19.0,127.0,0.0,112.0,25.0,87.0,51.0,61.0,20.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1440.8219178082186
8,39.0,240.0,0.0,222.0,42.0,180.0,103.0,119.0,34.0,18.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,65.0,367.0,0.0,337.0,66.0,271.0,164.0,173.0,56.0,29.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,92.0,499.0,0.0,457.0,94.0,363.0,229.0,228.0,78.0,42.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,125.0,621.0,0.0,573.0,118.0,455.0,292.0,281.0,99.0,56.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,158.0,737.0,0.0,684.0,142.0,542.0,346.0,338.0,123.0,70.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,189.0,869.0,0.0,805.0,165.0,640.0,408.0,397.0,150.0,82.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,29.0,124.0,0.0,115.0,18.0,97.0,57.0,58.0,19.0,15.0,4.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,3915.6862745098038
10,49.0,216.0,0.0,225.0,44.0,181.0,114.0,111.0,23.0,13.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,119.77358490566034
10,67.0,355.0,0.0,343.0,65.0,278.0,175.0,168.0,45.0,25.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,94.0,481.0,0.0,456.0,82.0,374.0,222.0,234.0,71.0,36.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
