"run","patientgetSeverityissevere","patientgetSeverityismoderate","patientgetSeverityislow","patientgetAdmissionRouteisElectiveattendance","patientgetImmunocompromisedisYes","patientgetImmunocompromisedisNo","patientgetRecentCovidContactisYes","patientgetRecentCovidContactisNo","patientgetStrepAInfectionStatusisSusceptible","patientgetStrepAInfectionStatusisAsymptomatic","patientgetStrepAInfectionStatusisSymptomatic","patientgetadmittedToisGreenBay","patientgetadmittedToisGreenBaygetSeverityissevere","patientgetadmittedToisGreenBaygetSeverityismoderate","patientgetadmittedToisGreenBaygetSeverityislow","patientgetadmittedToisGreenBaygetAdmissionRouteisElectiveattendance","patientgetadmittedToisGreenBaygetImmunocompromisedisYes","patientgetadmittedToisGreenBaygetImmunocompromisedisNo","patientgetadmittedToisGreenBaygetRecentCovidContactisYes","patientgetadmittedToisGreenBaygetRecentCovidContactisNo","patientgetadmittedToisGreenBaygetStrepAInfectionStatusisSusceptible","patientgetadmittedToisGreenBaygetStrepAInfectionStatusisAsymptomatic","patientgetadmittedToisGreenBaygetStrepAInfectionStatusisSymptomatic","patientgetAliveTime"
2,24.0,138.0,0.0,122.0,23.0,99.0,76.0,46.0,21.0,15.0,4.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,3935.1851851851843
2,48.0,234.0,0.0,242.0,48.0,194.0,133.0,109.0,28.0,9.0,3.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,1652.5531914893618
2,67.0,347.0,0.0,363.0,65.0,298.0,191.0,172.0,32.0,13.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,91.0,481.0,0.0,484.0,91.0,393.0,249.0,235.0,55.0,26.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,112.0,608.0,0.0,594.0,113.0,481.0,303.0,291.0,82.0,35.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,149.0,723.0,0.0,708.0,138.0,570.0,367.0,341.0,102.0,47.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,167.0,859.0,0.0,822.0,159.0,663.0,433.0,389.0,124.0,60.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,24.0,135.0,0.0,121.0,25.0,96.0,63.0,58.0,23.0,8.0,7.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3774.7169811320773
10,41.0,237.0,0.0,241.0,51.0,190.0,126.0,115.0,19.0,14.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1063.1654676258995
10,57.0,359.0,0.0,361.0,74.0,287.0,186.0,175.0,26.0,22.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
