"run","patientgetCOVIDVaccineStatusisUnvaccinated","patientgetCOVIDVaccineStatusispartiallyvaccinated","patientgetCOVIDVaccineStatusisfullyvaccinated","patientgetFluAVaccineStatusisUnvaccinated","patientgetFluAVaccineStatusispartiallyvaccinated","patientgetFluAVaccineStatusisfullyvaccinated","patientgetFluBVaccineStatusisUnvaccinated","patientgetFluBVaccineStatusispartiallyvaccinated","patientgetFluBVaccineStatusisfullyvaccinated","patientgetCOVIDInfectionStatusisSymptomatic","patientgetCOVIDInfectionStatusisAsymptomatic","patientgetCOVIDInfectionStatusisSusceptible","patientgetFluAInfectionStatusisSymptomatic","patientgetFluAInfectionStatusisAsymptomatic","patientgetFluAInfectionStatusisSusceptible","patientgetFluBInfectionStatusisSymptomatic","patientgetFluBInfectionStatusisAsymptomatic","patientgetFluBInfectionStatusisSusceptible","patientgetRecentCovidContactisYes","patientgetRecentCovidContactisNo","patientgetImmunocompromisedisYes","patientgetImmunocompromisedisNo","patientgetLFDCOVIDResultisPositive","patientgetLFDCOVIDResultisNegative","patientgetLFDFluAResultisPositive","patientgetLFDFluAResultisNegative","patientgetLFDFluBResultisPositive","patientgetLFDFluBResultisNegative","patientgetLIATCOVIDResultisPositive","patientgetLIATCOVIDResultisNegative","patientgetLIATFluAResultisPositive","patientgetLIATFluAResultisNegative","patientgetLIATFluBResultisPositive","patientgetLIATFluBResultisNegative","patientgetLabPCRCOVIDResultisPositive","patientgetLabPCRCOVIDResultisNegative","patientgetLabPCRFluAResultisPositive","patientgetLabPCRFluAResultisNegative","patientgetLabPCRFluBResultisPositive","patientgetLabPCRFluBResultisNegative","patientgetCepheidCOVIDResultisPositive","patientgetCepheidCOVIDResultisNegative","patientgetCepheidFluAResultisPositive","patientgetCepheidFluAResultisNegative","patientgetCepheidFluBResultisPositive","patientgetCepheidFluBResultisNegative","patientgetPHEThreeAltCOVIDResultisPositive","patientgetPHEThreeAltCOVIDResultisNegative"
1,56.0,17.0,477.0,439.0,0.0,111.0,439.0,0.0,111.0,8.0,39.0,503.0,19.0,17.0,514.0,19.0,17.0,514.0,36.0,514.0,62.0,1038.0,34.0,515.0,46.0,503.0,49.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.0,410.0
2,61.0,14.0,481.0,440.0,0.0,116.0,440.0,0.0,116.0,7.0,35.0,514.0,15.0,14.0,527.0,15.0,14.0,527.0,29.0,527.0,52.0,1044.0,33.0,522.0,49.0,506.0,41.0,514.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.0,407.0
3,52.0,11.0,500.0,469.0,0.0,94.0,469.0,0.0,94.0,16.0,24.0,523.0,11.0,11.0,541.0,11.0,11.0,541.0,22.0,541.0,49.0,1065.0,31.0,531.0,49.0,513.0,29.0,533.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0,415.0
4,54.0,13.0,491.0,449.0,0.0,109.0,449.0,0.0,109.0,5.0,35.0,518.0,15.0,13.0,530.0,15.0,13.0,530.0,28.0,530.0,54.0,1057.0,31.0,526.0,49.0,508.0,42.0,515.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,429.0
5,56.0,7.0,487.0,443.0,0.0,107.0,443.0,0.0,107.0,8.0,37.0,505.0,21.0,7.0,522.0,21.0,7.0,522.0,28.0,522.0,53.0,1058.0,42.0,507.0,55.0,494.0,38.0,511.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.0,404.0
6,41.0,10.0,485.0,453.0,0.0,83.0,453.0,0.0,83.0,4.0,33.0,499.0,18.0,10.0,508.0,18.0,10.0,508.0,28.0,508.0,48.0,1041.0,34.0,501.0,52.0,483.0,44.0,491.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,418.0
7,57.0,17.0,487.0,442.0,0.0,119.0,442.0,0.0,119.0,14.0,36.0,511.0,13.0,17.0,531.0,13.0,17.0,531.0,30.0,531.0,60.0,1058.0,43.0,517.0,47.0,513.0,33.0,527.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.0,409.0
8,46.0,13.0,492.0,448.0,0.0,103.0,448.0,0.0,103.0,7.0,32.0,512.0,15.0,13.0,523.0,15.0,13.0,523.0,28.0,523.0,60.0,1048.0,33.0,518.0,42.0,509.0,37.0,514.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.0,414.0
9,55.0,12.0,470.0,423.0,0.0,114.0,423.0,0.0,114.0,6.0,39.0,492.0,20.0,12.0,505.0,20.0,12.0,505.0,32.0,505.0,53.0,1015.0,38.0,498.0,55.0,481.0,41.0,495.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,401.0
10,65.0,9.0,478.0,425.0,0.0,127.0,425.0,0.0,127.0,14.0,36.0,502.0,22.0,9.0,521.0,22.0,9.0,521.0,31.0,521.0,57.0,1049.0,34.0,516.0,57.0,493.0,43.0,507.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,418.0
11,66.0,9.0,482.0,434.0,0.0,123.0,434.0,0.0,123.0,5.0,36.0,516.0,22.0,9.0,526.0,22.0,9.0,526.0,31.0,526.0,60.0,1043.0,37.0,519.0,48.0,508.0,38.0,518.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,415.0
12,46.0,12.0,490.0,447.0,0.0,101.0,447.0,0.0,101.0,1.0,31.0,516.0,12.0,12.0,524.0,12.0,12.0,524.0,24.0,524.0,49.0,1048.0,24.0,523.0,38.0,509.0,33.0,514.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.0,416.0
13,59.0,8.0,487.0,455.0,0.0,99.0,455.0,0.0,99.0,3.0,35.0,516.0,17.0,8.0,529.0,17.0,8.0,529.0,25.0,529.0,56.0,1041.0,24.0,528.0,45.0,507.0,42.0,510.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,416.0
